Label,Region
11,yeo7_1_l
12,yeo7_2_l
13,yeo7_3_l
14,yeo7_4_l
15,yeo7_5_l
16,yeo7_6_l
17,yeo7_7_l
21,yeo7_1_r
22,yeo7_2_r
23,yeo7_3_r
24,yeo7_4_r
25,yeo7_5_r
26,yeo7_6_r
27,yeo7_7_r
