Label,Region,Network,NetworkNum
11,yeo7_1_l,Vis,1
12,yeo7_2_l,SomMot,2
13,yeo7_3_l,DorsAttn,3
14,yeo7_4_l,SalVentAttn,4
15,yeo7_5_l,Limbic,5
16,yeo7_6_l,Cont,6
17,yeo7_7_l,Default,7
21,yeo7_1_r,Vis,1
22,yeo7_2_r,SomMot,2
23,yeo7_3_r,DorsAttn,3
24,yeo7_4_r,SalVentAttn,4
25,yeo7_5_r,Limbic,5
26,yeo7_6_r,Cont,6
27,yeo7_7_r,Default,7
